[Sun Feb 07 14:14:10.722965 2021] [php7:error] [pid 768] [client 192.168.1.162:37900] PHP Parse error:  syntax error, unexpected '(', expecting variable (T_VARIABLE) or '{' or '$' in /home/servers/www/index.php on line 38
[Sun Feb 07 14:18:15.940645 2021] [php7:error] [pid 653] [client 192.168.1.162:37912] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/servers/www/index.php on line 39
[Sun Feb 07 14:18:44.339833 2021] [php7:error] [pid 654] [client 192.168.1.162:37914] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /home/servers/www/index.php on line 49
[Sun Feb 07 21:59:59.256001 2021] [php7:warn] [pid 652] [client 192.168.1.162:38958] PHP Warning:  include(/template/navbar.php): failed to open stream: No such file or directory in /home/servers/www/index.php on line 26, referer: http://vapor.cagstech.com/
[Sun Feb 07 21:59:59.256095 2021] [php7:warn] [pid 652] [client 192.168.1.162:38958] PHP Warning:  include(): Failed opening '/template/navbar.php' for inclusion (include_path='.:/usr/share/php') in /home/servers/www/index.php on line 26, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:00:00.791251 2021] [php7:warn] [pid 652] [client 192.168.1.162:38958] PHP Warning:  include(/template/navbar.php): failed to open stream: No such file or directory in /home/servers/www/index.php on line 26, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:00:00.791328 2021] [php7:warn] [pid 652] [client 192.168.1.162:38958] PHP Warning:  include(): Failed opening '/template/navbar.php' for inclusion (include_path='.:/usr/share/php') in /home/servers/www/index.php on line 26, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:03:00.541866 2021] [php7:error] [pid 837] [client 192.168.1.162:38968] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:04:01.861885 2021] [php7:error] [pid 655] [client 192.168.1.162:38970] script '/home/servers/www/cpanel.php' not found or unable to stat
[Sun Feb 07 22:04:53.363384 2021] [php7:error] [pid 27148] [client 192.168.1.162:38972] script '/home/servers/www/cpanel.php' not found or unable to stat
[Sun Feb 07 22:04:59.672060 2021] [php7:error] [pid 27149] [client 192.168.1.162:38974] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:06:09.295242 2021] [php7:error] [pid 27150] [client 192.168.1.162:38980] script '/home/servers/www/cpanel.php' not found or unable to stat
[Sun Feb 07 22:06:12.228044 2021] [php7:error] [pid 27150] [client 192.168.1.162:38980] script '/home/servers/www/cpanel.php' not found or unable to stat
[Sun Feb 07 22:06:17.296958 2021] [php7:error] [pid 27150] [client 192.168.1.162:38980] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:06:48.865327 2021] [php7:error] [pid 27177] [client 192.168.1.162:38982] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:06:55.006994 2021] [php7:error] [pid 27177] [client 192.168.1.162:38982] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
[Sun Feb 07 22:09:27.927772 2021] [php7:error] [pid 27178] [client 192.168.1.162:38984] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/
